,a1,a2,d1,d2,wins,loses,ties,wr
71,MCTS,2 Step Look Ahead,Shaman,Shaman,47,53,0,0.47
72,MCTS,Weighted 2 Step Look Ahead,Mage,Mage,64,35,0,0.6464646464646465
73,MCTS,Weighted 2 Step Look Ahead,Mage,Warrior,71,28,0,0.7171717171717171
74,MCTS,Weighted 2 Step Look Ahead,Mage,Shaman,57,42,0,0.5757575757575758
75,MCTS,Weighted 2 Step Look Ahead,Warrior,Mage,69,30,0,0.696969696969697
76,MCTS,Weighted 2 Step Look Ahead,Warrior,Warrior,67,33,0,0.67
77,MCTS,Weighted 2 Step Look Ahead,Warrior,Shaman,73,27,0,0.73
78,MCTS,Weighted 2 Step Look Ahead,Shaman,Mage,76,24,0,0.76
79,MCTS,Weighted 2 Step Look Ahead,Shaman,Warrior,72,28,0,0.72
80,MCTS,Weighted 2 Step Look Ahead,Shaman,Shaman,68,32,0,0.68
81,2 Step Look Ahead,Weighted 2 Step Look Ahead,Mage,Mage,58,42,0,0.58
82,2 Step Look Ahead,Weighted 2 Step Look Ahead,Mage,Warrior,90,10,0,0.9
83,2 Step Look Ahead,Weighted 2 Step Look Ahead,Mage,Shaman,69,31,0,0.69
84,2 Step Look Ahead,Weighted 2 Step Look Ahead,Warrior,Mage,55,44,0,0.5555555555555556
85,2 Step Look Ahead,Weighted 2 Step Look Ahead,Warrior,Warrior,75,25,0,0.75
86,2 Step Look Ahead,Weighted 2 Step Look Ahead,Warrior,Shaman,67,33,0,0.67
87,2 Step Look Ahead,Weighted 2 Step Look Ahead,Shaman,Mage,82,18,0,0.82
88,2 Step Look Ahead,Weighted 2 Step Look Ahead,Shaman,Warrior,81,19,0,0.81
89,2 Step Look Ahead,Weighted 2 Step Look Ahead,Shaman,Shaman,87,13,0,0.87
